symbol,name,sector,weight
MO,ALTRIA GROUP INC,Unknown,0.0017076976166558542
NEM,NEWMONT CORP,Unknown,0.0016989499451228734
MDT,MEDTRONIC PLC,Unknown,0.001665070233293193
ADP,AUTOMATIC DATA PROCESSING,Unknown,0.0016503273040390958
BNY,BANK OF NEW YORK MELLON CORP,Unknown,0.0016454630381752184
TT,TRANE TECHNOLOGIES PLC,Unknown,0.0015970806077513853
VRT,VERTIV HOLDINGS CO A,Unknown,0.0015944282817144976
ADBE,ADOBE INC,Unknown,0.0015877023832360497
ACN,ACCENTURE PLC CL A,Unknown,0.001585690618959014
MCK,MCKESSON CORP,Unknown,0.0015812467217500396
SO,SOUTHERN CO/THE,Unknown,0.0015807462828751552
EQIX,EQUINIX INC,Unknown,0.0015658332044035973
PNC,PNC FINANCIAL SERVICES GROUP,Unknown,0.00153211363301388
PWR,QUANTA SERVICES INC,Unknown,0.0015126966046683616
FTNT,FORTINET INC,Unknown,0.0015050398898826289
BX,BLACKSTONE INC,Unknown,0.0014964623675671085
USB,US BANCORP,Unknown,0.0014951412089374133
GD,GENERAL DYNAMICS CORP,Unknown,0.0014823600000728634
FCX,FREEPORT MCMORAN INC,Unknown,0.0014794274282660404
DUK,DUKE ENERGY CORP,Unknown,0.0014580086444209838
CME,CME GROUP INC,Unknown,0.001445697848098825
JCI,JOHNSON CONTROLS INTERNATION,Unknown,0.0014233582567239815
MMM,3M CO,Unknown,0.0014226376247441475
CSX,CSX CORP,Unknown,0.0014220070717617932
CDNS,CADENCE DESIGN SYS INC,Unknown,0.0014089656346823033
MRSH,MARSH + MCLENNAN COS,Unknown,0.0014056427205530703
APP,APPLOVIN CORP CLASS A,Unknown,0.0013631854864078693
VLO,VALERO ENERGY CORP,Unknown,0.001357970913331573
CMCSA,COMCAST CORP CLASS A,Unknown,0.0013535870687875848
INTU,INTUIT INC,Unknown,0.0013436883878423698
CMI,CUMMINS INC,Unknown,0.001341316307575417
EMR,EMERSON ELECTRIC CO,Unknown,0.0013266434397638037
WMB,WILLIAMS COS INC,Unknown,0.0013224197356597783
MPC,MARATHON PETROLEUM CORP,Unknown,0.0013186063914331586
ELV,ELEVANCE HEALTH INC,Unknown,0.0012830051698738756
ICE,INTERCONTINENTAL EXCHANGE IN,Unknown,0.0012783010444499612
WM,WASTE MANAGEMENT INC,Unknown,0.001277079973595243
TMUS,T MOBILE US INC,Unknown,0.0012641686506232232
CEG,CONSTELLATION ENERGY,Unknown,0.0012598448587442213
SHW,SHERWIN WILLIAMS CO/THE,Unknown,0.0012582534631220882
PSX,PHILLIPS 66,Unknown,0.0012437207181954426
TRV,TRAVELERS COS INC/THE,Unknown,0.0012388764698865607
ROST,ROSS STORES INC,Unknown,0.0012366545212820737
DASH,DOORDASH INC   A,Unknown,0.0012181182653563517
MDLZ,MONDELEZ INTERNATIONAL INC A,Unknown,0.0012163266941842652
RCL,ROYAL CARIBBEAN CRUISES LTD,Unknown,0.001207008522333916
AMT,AMERICAN TOWER CORP,Unknown,0.0012039358276421254
MAR,MARRIOTT INTERNATIONAL  CL A,Unknown,0.0011882320557482498
MSI,MOTOROLA SOLUTIONS INC,Unknown,0.001187481397435923
GM,GENERAL MOTORS CO,Unknown,0.001183287719664391
SNPS,SYNOPSYS INC,Unknown,0.00117388947759406
ORLY,O REILLY AUTOMOTIVE INC,Unknown,0.001167924246205437
ITW,ILLINOIS TOOL WORKS,Unknown,0.0011646413671861945
REGN,REGENERON PHARMACEUTICALS,Unknown,0.0011645913232987061
SLB,SLB LTD,Unknown,0.0011630799978965551
AON,AON PLC CLASS A,Unknown,0.001163039962786564
UPS,UNITED PARCEL SERVICE CL B,Unknown,0.0011629999276765734
NSC,NORFOLK SOUTHERN CORP,Unknown,0.0011569946611779596
HON,HONEYWELL INTERNATIONAL INC,Unknown,0.0011512296053392901
DDOG,DATADOG INC   CLASS A,Unknown,0.0011450341720682202
NOC,NORTHROP GRUMMAN CORP,Unknown,0.0011439932592084603
CL,COLGATE PALMOLIVE CO,Unknown,0.0011233051161207352
HLT,HILTON WORLDWIDE HOLDINGS IN,Unknown,0.001106400290927137
BSX,BOSTON SCIENTIFIC CORP,Unknown,0.0011060499837147178
URI,UNITED RENTALS INC,Unknown,0.0010991539360188094
CI,THE CIGNA GROUP,Unknown,0.0010989937955788464
EOG,EOG RESOURCES INC,Unknown,0.001095030319689761
SPG,SIMON PROPERTY GROUP INC,Unknown,0.0010858122356143887
HOOD,ROBINHOOD MARKETS INC   A,Unknown,0.0010838505152248414
ECL,ECOLAB INC,Unknown,0.0010837904625598555
KKR,KKR + CO INC,Unknown,0.0010785358543735682
MCO,MOODY S CORP,Unknown,0.0010729409477523595
ALL,ALLSTATE CORP,Unknown,0.0010689174191982882
TDG,TRANSDIGM GROUP INC,Unknown,0.0010651641276366545
HPE,HEWLETT PACKARD ENTERPRISE,Unknown,0.0010497105751802213
PCAR,PACCAR INC,Unknown,0.0010490700134203692
FDX,FEDEX CORP,Unknown,0.0010465678190459465
CTAS,CINTAS CORP,Unknown,0.0010350677337011007
AEP,AMERICAN ELECTRIC POWER,Unknown,0.0010287121599900676
MNST,MONSTER BEVERAGE CORP,Unknown,0.0010141694062859245
DLR,DIGITAL REALTY TRUST INC,Unknown,0.0010102359567293322
APD,AIR PRODUCTS + CHEMICALS INC,Unknown,0.0010084343767797481
MPWR,MONOLITHIC POWER SYSTEMS INC,Unknown,0.0010073934639199882
TGT,TARGET CORP,Unknown,0.0010064726563902007
TFC,TRUIST FINANCIAL CORP,Unknown,0.0009889873221017363
WBD,WARNER BROS DISCOVERY INC,Unknown,0.0009876061108070554
COHR,COHERENT CORP,Unknown,0.0009868554524947286
CRH,CRH PLC,Unknown,0.0009849738023251628
LITE,LUMENTUM HOLDINGS INC,Unknown,0.000984093029905366
AJG,ARTHUR J GALLAGHER + CO,Unknown,0.0009762061132371864
HCA,HCA HEALTHCARE INC,Unknown,0.0009584205156237915
ABNB,AIRBNB INC CLASS A,Unknown,0.0009565688917867189
COR,CENCORA INC,Unknown,0.0009545371099546877
TEL,TE CONNECTIVITY PLC,Unknown,0.000947621044703784
BKR,BAKER HUGHES CO,Unknown,0.0009363611700188829
NUE,NUCOR CORP,Unknown,0.0009350400113891878
KMI,KINDER MORGAN INC,Unknown,0.0009244006809091433
TER,TERADYNE INC,Unknown,0.0009091072688926731
FIX,COMFORT SYSTEMS USA INC,Unknown,0.000908566794907798
DAL,DELTA AIR LINES INC,Unknown,0.0009062647760833293
APO,APOLLO GLOBAL MANAGEMENT INC,Unknown,0.0008910013903993522
D,DOMINION ENERGY INC,Unknown,0.0008867876950728247
NXPI,NXP SEMICONDUCTORS NV,Unknown,0.0008834647809435916
FAST,FASTENAL CO,Unknown,0.000880291998476824
O,REALTY INCOME CORP,Unknown,0.00087770973388242
AFL,AFLAC INC,Unknown,0.0008757380047153752
KEYS,KEYSIGHT TECHNOLOGIES IN,Unknown,0.0008702031507591525
AME,AMETEK INC,Unknown,0.0008697327382167612
TRGP,TARGA RESOURCES CORP,Unknown,0.0008689620623494389
CIEN,CIENA CORP,Unknown,0.0008597740046065596
GWW,WW GRAINGER INC,Unknown,0.0008407473185834512
CAH,CARDINAL HEALTH INC,Unknown,0.0008402168533760734
OKE,ONEOK INC,Unknown,0.0008361933248220021
SRE,SEMPRA,Unknown,0.000832289901597903
PSA,PUBLIC STORAGE,Unknown,0.0008278159780564357
MET,METLIFE INC,Unknown,0.0008153950851818025
F,FORD MOTOR CO,Unknown,0.0008146644444244711
LHX,L3HARRIS TECHNOLOGIES INC,Unknown,0.0008141640055495865
PYPL,PAYPAL HOLDINGS INC,Unknown,0.0007959380217262933
FITB,FIFTH THIRD BANCORP,Unknown,0.0007773216955805901
EW,EDWARDS LIFESCIENCES CORP,Unknown,0.000776320817830821
CTVA,CORTEVA INC,Unknown,0.0007759504930634065
ADSK,AUTODESK INC,Unknown,0.0007727176579316526
STT,STATE STREET CORP,Unknown,0.0007724674384942103
AZO,AUTOZONE INC,Unknown,0.0007627088804339627
NKE,NIKE INC  CL B,Unknown,0.0007604268791644895
AMP,AMERIPRISE FINANCIAL INC,Unknown,0.0007595961506321812
WAB,WABTEC CORP,Unknown,0.0007560430346205012
CARR,CARRIER GLOBAL CORP,Unknown,0.0007537310070185348
HONA,HONEYWELL AEROSPACE INC,Unknown,0.0007482461969498008
DVN,DEVON ENERGY CORP,Unknown,0.0007480360126223492
GRMN,GARMIN LTD,Unknown,0.0007443227561707063
ROK,ROCKWELL AUTOMATION INC,Unknown,0.0007418806144612699
CVNA,CARVANA CO,Unknown,0.000738877981211963
EBAY,EBAY INC,Unknown,0.0007381173141221385
FERG,FERGUSON ENTERPRISES INC,Unknown,0.0007377469893547241
BDX,BECTON DICKINSON AND CO,Unknown,0.0007364858833900152
